PlayerId, SystemConfiguration, NumberOfGoals, NumberOfOperatorsPreCompilation, NumberOfPredicatesPreCompilation, NumberOfOperatorsPostCompilation, NumberOfPredicatesPostCompilation, NumberOfObservationsInput, NumberOfPlayerActionsTaken, Runtime, PlanRecognitionPrecision, PlanRecognitionRecall, PlanRecognitionF1Score, PlanRecognitionLevenshteinDistance, GoalRecognitionPrecision, GoalRecognitionRecall, GoalRecognitionF1Score, GoalRecognitionLevenshteinDistance, IndexterCalculationTime
-5811686, windowed_with_conservative_DE, 1, 10, 11, 0, 0, 5, 23, 9.959, -1, -1, -1, -1, -1, -1, -1, -1, 0
-5811686, windowed_with_conservative_DE, 1, 10, 11, 0, 0, 6, 24, 10, -1, -1, -1, -1, -1, -1, -1, -1, 0
-5811686, windowed_with_conservative_DE, 1, 10, 11, 0, 0, 7, 25, 10.02, -1, -1, -1, -1, -1, -1, -1, -1, 0
-5811686, windowed_with_conservative_DE, 1, 10, 12, 113, 126, 8, 26, 72.106, 0.210526315789474, 0.037037037037037, 0.062992125984252, 425, -1, 0, 0, 30, 0
-5811686, windowed_with_conservative_DE, 1, 10, 12, 113, 126, 8, 27, 69.102, 0.210526315789474, 0.037037037037037, 0.062992125984252, 425, -1, 0, 0, 30, 0
-5811686, windowed_with_conservative_DE, 2, 10, 12, 113, 126, 8, 28, 61.507, 0.210526315789474, 0.037037037037037, 0.062992125984252, 425, -1, 0, 0, 30, 0
-5811686, windowed_with_conservative_DE, 2, 10, 12, 113, 126, 9, 29, 64.1, 0.210526315789474, 0.037037037037037, 0.062992125984252, 425, -1, 0, 0, 30, 0
-5811686, windowed_with_conservative_DE, 2, 10, 12, 113, 126, 10, 30, 58.087, 0.210526315789474, 0.037037037037037, 0.062992125984252, 425, -1, 0, 0, 30, 0
-5811686, windowed_with_conservative_DE, 2, 10, 12, 113, 126, 11, 31, 60.17, 0.210526315789474, 0.037037037037037, 0.062992125984252, 425, -1, 0, 0, 30, 0
-5811686, windowed_with_conservative_DE, 2, 10, 12, 113, 126, 11, 32, 63.531, 0.210526315789474, 0.037037037037037, 0.062992125984252, 425, -1, 0, 0, 30, 0
-5811686, windowed_with_conservative_DE, 2, 10, 12, 113, 126, 11, 33, 59.772, 0.210526315789474, 0.037037037037037, 0.062992125984252, 425, -1, 0, 0, 30, 0
