PlayerId, SystemConfiguration, NumberOfGoals, NumberOfOperatorsPreCompilation, NumberOfPredicatesPreCompilation, NumberOfOperatorsPostCompilation, NumberOfPredicatesPostCompilation, NumberOfObservationsInput, NumberOfPlayerActionsTaken, Runtime, PlanRecognitionPrecision, PlanRecognitionRecall, PlanRecognitionF1Score, PlanRecognitionLevenshteinDistance, GoalRecognitionPrecision, GoalRecognitionRecall, GoalRecognitionF1Score, GoalRecognitionLevenshteinDistance, IndexterCalculationTime
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 11, 0, 0, 5, 23, 16.176, -1, -1, -1, -1, -1, -1, -1, -1, 16.961
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 11, 0, 0, 6, 24, 12.9, -1, -1, -1, -1, -1, -1, -1, -1, 20.848
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 95, 118, 7, 25, 69.532, 0, 0, NaN, 535, -1, 0, 0, 21, 23.697
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 95, 118, 8, 26, 68.429, 0.166666666666667, 0.015748031496063, 0.0287769784172662, 534, -1, 0, 0, 21, 27.71
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 127, 156, 9, 27, 81.088, 0.3, 0.0236220472440945, 0.0437956204379562, 538, -1, 0, 0, 21, 31.022
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 127, 156, 9, 28, 80.778, 0.3, 0.0236220472440945, 0.0437956204379562, 538, -1, 0, 0, 21, 33.159
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 130, 158, 10, 29, 84.917, 0.0833333333333333, 0.0078740157480315, 0.0143884892086331, 540, -1, 0, 0, 21, 34.045
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 130, 158, 11, 30, 81.679, 0.333333333333333, 0.0236220472440945, 0.0441176470588235, 549, -1, 0, 0, 21, 38.081
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 130, 158, 12, 31, 83.764, 0, 0, NaN, 542, -1, 0, 0, 21, 44.374
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 130, 158, 13, 32, 80.31, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 45.404
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 130, 158, 14, 33, 65.442, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 50.767
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 130, 158, 14, 34, 63.297, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 48.331
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 130, 158, 15, 35, 63.956, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 51.613
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 130, 158, 16, 36, 62.388, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 55.704
606449569, cognitive_with_conservative_DE_STRICT, 1, 10, 12, 130, 158, 16, 37, 63.792, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 55.93
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 16, 38, 64.359, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 55.342
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 17, 39, 64.7, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 59.713
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 18, 40, 64.088, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 60.707
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 19, 41, 67.097, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 68.836
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 19, 42, 66.546, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 65.555
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 19, 43, 65.453, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 67.397
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 20, 44, 64.6, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 70.059
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 21, 45, 67.278, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 70.788
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 22, 46, 66.359, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 78.467
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 23, 47, 66.622, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 82.077
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 24, 48, 65.67, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 83.496
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 25, 49, 66.794, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 86.543
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 26, 50, 65.965, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 89.637
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 27, 51, 69.442, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 95.072
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 28, 52, 69.466, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 98.92
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 29, 53, 66.689, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 101.515
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 30, 54, 72.468, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 102.46
606449569, cognitive_with_conservative_DE_STRICT, 2, 10, 12, 130, 158, 31, 55, 68.152, 0.444444444444444, 0.031496062992126, 0.0588235294117647, 551, -1, 0, 0, 21, 104.264
606449569, cognitive_with_conservative_DE_STRICT, 2, 11, 12, 336, 355, 32, 56, 489.269, 0.19047619047619, 0.031496062992126, 0.0540540540540541, 511, -1, 0, 0, 21, 112.12
606449569, cognitive_with_conservative_DE_STRICT, 2, 11, 12, 357, 377, 33, 57, 274.457, 0.15, 0.047244094488189, 0.0718562874251497, 457, -1, 0, 0, 21, 112.618
606449569, cognitive_with_conservative_DE_STRICT, 2, 11, 12, 366, 379, 34, 58, 279.087, 0.193548387096774, 0.047244094488189, 0.0759493670886076, 483, -1, 0, 0, 21, 116.424
606449569, cognitive_with_conservative_DE_STRICT, 2, 11, 12, 366, 379, 35, 59, 260.396, 0.193548387096774, 0.047244094488189, 0.0759493670886076, 483, -1, 0, 0, 21, 122.389
