"","PlayerId","SystemConfiguration","NumberOfGoals","NumberOfOperatorsPreCompilation","NumberOfPredicatesPreCompilation","NumberOfOperatorsPostCompilation","NumberOfPredicatesPostCompilation","NumberOfObservationsInput","NumberOfPlayerActionsTaken","Runtime","PlanRecognitionPrecision","PlanRecognitionRecall","PlanRecognitionF1Score","PlanRecognitionLevenshteinDistance","GoalRecognitionPrecision","GoalRecognitionRecall","GoalRecognitionF1Score","GoalRecognitionLevenshteinDistance","IndexterCalculationTime"
"1",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,11,0,0,4,23,14.971,-1,-1,-1,-1,-1,-1,-1,-1,13.241
"2",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,11,0,0,5,24,11.641,-1,-1,-1,-1,-1,-1,-1,-1,16.029
"3",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,11,0,0,6,25,11.714,-1,-1,-1,-1,-1,-1,-1,-1,19.536
"4",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,11,0,0,7,26,12.352,-1,-1,-1,-1,-1,-1,-1,-1,22.312
"5",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,11,0,0,8,27,11.97,-1,-1,-1,-1,-1,-1,-1,-1,26.742
"6",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,11,0,0,9,28,11.718,-1,-1,-1,-1,-1,-1,-1,-1,29.912
"7",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,11,0,0,10,29,11.703,-1,-1,-1,-1,-1,-1,-1,-1,32.652
"8",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,11,0,0,11,30,12.558,-1,-1,-1,-1,-1,-1,-1,-1,42.261
"9",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,12,99,120,12,31,70.915,0.157894736842105,0.0306122448979592,0.0512820512820513,369,-1,0,0,21,42.435
"10",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,12,99,120,12,32,68.339,0.157894736842105,0.0306122448979592,0.0512820512820513,369,-1,0,0,21,39
"11",-1236709656," cognitive_with_conservative_DE_STRICT",1,10,12,99,120,12,33,69.164,0.157894736842105,0.0306122448979592,0.0512820512820513,369,-1,0,0,21,39.011
"12",-1236709656," cognitive_with_conservative_DE_STRICT",2,10,12,99,120,12,34,54.591,0.157894736842105,0.0306122448979592,0.0512820512820513,369,-1,0,0,21,38.547
"13",-1236709656," cognitive_with_conservative_DE_STRICT",2,10,12,99,120,14,35,57.13,0.157894736842105,0.0306122448979592,0.0512820512820513,369,-1,0,0,21,45.615
"14",-1236709656," cognitive_with_conservative_DE_STRICT",2,10,12,99,120,15,36,59.385,0.157894736842105,0.0306122448979592,0.0512820512820513,369,-1,0,0,21,49.671
"15",-1236709656," cognitive_with_conservative_DE_STRICT",2,10,12,99,120,15,37,57.326,0.157894736842105,0.0306122448979592,0.0512820512820513,369,-1,0,0,21,48.663
