"","PlayerId","SystemConfiguration","NumberOfGoals","NumberOfOperatorsPreCompilation","NumberOfPredicatesPreCompilation","NumberOfOperatorsPostCompilation","NumberOfPredicatesPostCompilation","NumberOfObservationsInput","NumberOfPlayerActionsTaken","Runtime","PlanRecognitionPrecision","PlanRecognitionRecall","PlanRecognitionF1Score","PlanRecognitionLevenshteinDistance","GoalRecognitionPrecision","GoalRecognitionRecall","GoalRecognitionF1Score","GoalRecognitionLevenshteinDistance","IndexterCalculationTime"
"1",-1236709656," windowed",26,14,15,641,706,1,1,1184.93,0.307692307692308,0.122448979591837,0.175182481751825,308,-1,0,0,21,0
"2",-1236709656," windowed",26,14,15,642,708,2,2,1428.216,0.142857142857143,0.0714285714285714,0.0952380952380952,299,-1,0,0,21,0
"3",-1236709656," windowed",26,14,15,644,710,3,3,1454.293,0.186046511627907,0.0816326530612245,0.113475177304965,312,-1,0,0,21,0
"4",-1236709656," windowed",26,14,15,647,712,4,4,1820.76,0.204081632653061,0.102040816326531,0.136054421768708,291,-1,0,0,21,0
"5",-1236709656," windowed",26,14,15,651,714,5,5,1850.937,0.160714285714286,0.0918367346938776,0.116883116883117,293,-1,0,0,21,0
"6",-1236709656," windowed",26,14,15,656,716,6,6,453.819,0.205882352941176,0.0714285714285714,0.106060606060606,321,-1,0,0,21,0
"7",-1236709656," windowed",26,14,15,662,718,7,7,2125.025,0.105263157894737,0.0612244897959184,0.0774193548387097,291,-1,0,0,21,0
"8",-1236709656," windowed",26,14,15,662,718,7,8,426.644,0.114285714285714,0.0408163265306122,0.0601503759398496,317,-1,0,0,21,0
"9",-1236709656," windowed",26,14,15,663,718,7,9,1791.573,0.117647058823529,0.0612244897959184,0.0805369127516779,287,-1,0,0,21,0
"10",-1236709656," windowed",26,14,15,664,718,7,10,444.657,0.162162162162162,0.0612244897959184,0.0888888888888889,309,-1,0,0,21,0
"11",-1236709656," windowed",26,14,15,663,718,7,11,1866.292,0.155172413793103,0.0918367346938776,0.115384615384615,281,-1,0,0,21,0
"12",-1236709656," windowed",26,14,15,663,718,7,12,434.369,0.142857142857143,0.0612244897959184,0.0857142857142857,292,-1,0,0,21,0
"13",-1236709656," windowed",26,14,15,662,718,7,13,1909.583,0.1,0.0510204081632653,0.0675675675675676,300,-1,0,0,21,0
