(close arthur barentrance docks), success,0:08
(look-at arthur mushroom docks), success,0:14
(pickup arthur mushroom docks), success,0:18
(move-through-doorway arthur docks junkyard), success,0:22
(look-at arthur mirror junkyard), success,0:29
(look-at arthur alli junkyard), success,0:32
(talk-to arthur alli junkyard), success,0:38
(move-through-doorway arthur junkyard docks), success,0:51
(move-through-doorway arthur docks townarch), success,0:56
(talk-to arthur karina townarch), success,1:01
(talk-to arthur dorian townarch), success,1:07
(give dorian loveletter arthur townarch), success,1:18
(open arthur hutentrance townarch), success,1:34
(move-through-entrance arthur townarch hutentrance hut), success,1:36
(close arthur hutexit hut), success,1:43
(talk-to arthur michael hut), success,1:47
(look-at arthur hairtonic hut), success,2:00
(look-at arthur book hut), success,2:04
(look-at arthur tastycupcake hut), success,2:09
(open arthur hutexit hut), success,2:14
(move-through-entrance arthur hut hutexit townarch), success,2:17
(close arthur hutentrance townarch), proximity error,2:20
(close arthur hutentrance townarch), success,2:23
(open arthur forgeentrance townarch), success,2:34
(move-through-entrance arthur townarch forgeentrance forge), success,2:37
(talk-to arthur matthias forge), success,2:44
(look-at arthur knightsword forge), success,2:51
(pickup arthur knightsword forge), proximity error,2:54
(pickup arthur knightsword forge), success,3:04
(talk-to arthur peter forge), success,3:11
(move-through-entrance arthur forge forgeexit townarch), success,3:24
(close arthur forgeentrance townarch), proximity error,3:27
(close arthur forgeentrance townarch), success,3:30
(move-through-door arthur townarch towngate townsquare), success,3:36
(move-through-doorway arthur townsquare frank), failure,3:45
(talk-to arthur frank townsquare), success,3:47
(unlock-entrance arthur shinykey bankentrance townsquare), success,4:04
(talk-to arthur frank townsquare), success,?
(look-at arthur frank townsquare), success,4:13
(talk-to arthur frank townsquare), success,4:15
(open arthur bankentrance townsquare), success,4:21
(move-through-entrance arthur townsquare bankentrance bank), success,4:25
(pickup arthur coin bank), success,4:32
(look-at arthur silver bank), success,4:37
(pickup arthur silver bank), success,4:40
(move-through-entrance arthur bank bankexit townsquare), success,4:44
(talk-to arthur frank townsquare), success,4:51
(talk-to arthur dave townsquare), success,4:58
