(pickup arthur mushroom docks), success,0:05,pick up mushroom
(move-through-doorway arthur docks townarch), success,0:15,go to doorway toward townarch
(talk-to arthur karina townarch), success,0:23,talk to karina
(talk-to arthur dorian townarch), success,0:37,talk to dorian
(give dorian loveletter arthur townarch), success,0:47,give loveletter to arthur
(give arthur loveletter karina townarch),failure,1:00,give loveletter to karina
(open arthur hutentrance townarch), success,1:13,open hutentrance
(move-through-entrance arthur townarch hutentrance hut), success,1:19,go to hutentrance
(pickup arthur tastycupcake hut), success,1:29,pick up tastycupcake
(pickup arthur hairtonic hut), success,1:34,pick up hairtonic
(talk-to arthur michael hut), success,1:42,talk to michael
(move-through-entrance arthur hut hutexit townarch), success,1:54,go to hutexit
(move-through-doorway arthur townarch docks), success,2:03,go to doorway toward docks
(move-through-doorway arthur docks junkyard), success,2:11,go to doorway toward junkyard
(talk-to arthur alli junkyard), success,2:21,talk to alli
(look-at arthur doorway toward docks junkyard), success,2:47,look at doorway toward docks
(move-through-doorway arthur junkyard docks), success,2:48,go to doorway toward docks
(move-through-doorway arthur docks townarch), success,2:55,go to doorway toward townarch
(move-through-entrance arthur townarch forgeentrance forge), failure,3:04,go to forgeentrance
(open arthur forgeentrance townarch), success,3:08,open forgentrance
(move-through-entrance arthur townarch forgeentrance forge), success,3:10,go to forgeentrance
(talk-to arthur matthias forge), success,3:18,talk to matthias
(pickup arthur knightsword forge), success,3:30,pick up knightsword
(pickup arthur rope forge), success,3:35,pick up rope
(look-at arthur peter forge), success,3:48,look at peter
(look-at arthur peter forge), success,3:54,look at peter
(talk-to arthur peter forge), success,3:56,talk to peter
(look-at arthur forgeexit forge), success,4:04,look at forgeexit
(move-through-entrance arthur forge forgeexit townarch), success,4:08,go to forgeexit
(close arthur forgeentrance townarch), success,4:13,close forgeentrance
(close arthur hutentrance townarch), success,4:32,close hutentrance
(look-at arthur doorway toward docks townarch), success,4:41,look at doorway toward docks
(move-through-doorway arthur townarch docks), success,4:44,go to doorway toward docks
(move-through-doorway arthur docks junkyard), proximity error,4:53,go to doorway toward junkyard
(move-through-doorway arthur docks junkyard), success,4:56,go to doorway toward junkyard
