(close arthur barentrance docks), success,0:08,close barentrance
(look-at arthur mushroom docks), success,0:14,look at mushroom
(pickup arthur mushroom docks), success,0:18,pick up mushroom
(move-through-doorway arthur docks junkyard), success,0:22,go to doorway toward junkyard
(look-at arthur mirror junkyard), success,0:29,look at mirror
(look-at arthur alli junkyard), success,0:32,look at alli
(talk-to arthur alli junkyard), success,0:38,talk to alli
(move-through-doorway arthur junkyard docks), success,0:51,go to doorway toward docks
(move-through-doorway arthur docks townarch), success,0:56,go to doorway toward townarch
(talk-to arthur karina townarch), success,1:01,talk to karina
(talk-to arthur dorian townarch), success,1:07,talk to dorian
(give dorian loveletter arthur townarch), success,1:18,give loveletter to arthur
(open arthur hutentrance townarch), success,1:34,open hutentrance
(move-through-entrance arthur townarch hutentrance hut), success,1:36,go to hutentrance
(close arthur hutexit hut), success,1:43,close hutexit
(talk-to arthur michael hut), success,1:47,talk to michael
(look-at arthur hairtonic hut), success,2:00,look at hairtonic
(look-at arthur book hut), success,2:04,look at book
(look-at arthur tastycupcake hut), success,2:09,look at tastycupcake
(open arthur hutexit hut), success,2:14,open hutexit
(move-through-entrance arthur hut hutexit townarch), success,2:17,go to hutexit
(close arthur hutentrance townarch), proximity error,2:20,close hutentrance
(close arthur hutentrance townarch), success,2:23,close hutentrance
(open arthur forgeentrance townarch), success,2:34,open forgeentrance
(move-through-entrance arthur townarch forgeentrance forge), success,2:37,go to forgeentrance
(talk-to arthur matthias forge), success,2:44,talk to matthias
(look-at arthur knightsword forge), success,2:51,look at knightsword
(pickup arthur knightsword forge), proximity error,2:54,pick up knightsword
(pickup arthur knightsword forge), success,3:04,pick up knightsword
(talk-to arthur peter forge), success,3:11,talk to peter
(move-through-entrance arthur forge forgeexit townarch), success,3:24,go to forgeexit
(close arthur forgeentrance townarch), proximity error,3:27,close forgeentrance
(close arthur forgeentrance townarch), success,3:30,close forgeentrance
(move-through-door arthur townarch towngate townsquare), success,3:36,go to doorway toward townsquare
(move-through-doorway arthur townsquare frank), failure,3:45,go to doorway toward frank
(talk-to arthur frank townsquare), success,3:47,talk to frank
(unlock-entrance arthur shinykey bankentrance townsquare), success,4:04,use shinykey with bankentrance
(look-at arthur frank townsquare), success,4:13,look at frank
(talk-to arthur frank townsquare), success,4:15,talk to frank
(open arthur bankentrance townsquare), success,4:21,open bankentrance
(move-through-entrance arthur townsquare bankentrance bank), success,4:25,go to bankentrance
(pickup arthur coin bank), success,4:32,pick up coin
(look-at arthur silver bank), success,4:37,look at silver
(pickup arthur silver bank), success,4:40,pick up silver
(move-through-entrance arthur bank bankexit townsquare), success,4:44,go to bankexit
(talk-to arthur frank townsquare), success,4:51,talk to frank
(talk-to arthur dave townsquare), success,4:58,talk to dave
