PlayerId, SystemConfiguration, NumberOfGoals, NumberOfOperatorsPreCompilation, NumberOfPredicatesPreCompilation, NumberOfOperatorsPostCompilation, NumberOfPredicatesPostCompilation, NumberOfObservationsInput, NumberOfPlayerActionsTaken, Runtime, PlanRecognitionPrecision, PlanRecognitionRecall, PlanRecognitionF1Score, PlanRecognitionLevenshteinDistance, GoalRecognitionPrecision, GoalRecognitionRecall, GoalRecognitionF1Score, GoalRecognitionLevenshteinDistance, IndexterCalculationTime
39588743, cognitive, 5, 14, 15, 631, 706, 1, 1, 1227.613, 0.105263157894737, 0.0338983050847458, 0.0512820512820513, 376, -1, 0, 0, 21, 0
39588743, cognitive, 5, 14, 15, 632, 708, 2, 2, 1445.281, 0.192307692307692, 0.0847457627118644, 0.117647058823529, 357, -1, 0, 0, 21, 840.243
39588743, cognitive, 5, 14, 15, 632, 708, 2, 3, 995.266, 0.216216216216216, 0.0677966101694915, 0.103225806451613, 380, -1, 0, 0, 21, 12.796
39588743, cognitive, 5, 14, 15, 632, 708, 2, 4, 1113.504, 0.0263157894736842, 0.00847457627118644, 0.0128205128205128, 376, -1, 0, 0, 21, 12.829
39588743, cognitive, 5, 14, 15, 632, 708, 2, 5, 1040.575, 0.205128205128205, 0.0677966101694915, 0.101910828025478, 372, -1, 0, 0, 21, 16.601
39588743, cognitive, 5, 14, 15, 634, 710, 3, 6, 1389.422, 0.176470588235294, 0.076271186440678, 0.106508875739645, 358, -1, 0, 0, 21, 20.086
39588743, cognitive, 5, 14, 15, 634, 710, 3, 7, 1265.594, 0.304347826086957, 0.11864406779661, 0.170731707317073, 357, -1, 0, 0, 21, 26.823
39588743, cognitive, 5, 14, 15, 634, 710, 3, 8, 1182.871, 0.244444444444444, 0.0932203389830508, 0.134969325153374, 367, -1, 0, 0, 21, 29.022
39588743, cognitive, 5, 14, 15, 634, 710, 3, 9, 1293.916, 0.304347826086957, 0.11864406779661, 0.170731707317073, 365, -1, 0, 0, 21, 38.553
39588743, cognitive, 5, 14, 15, 634, 710, 4, 10, 1240.631, 0.304347826086957, 0.11864406779661, 0.170731707317073, 365, -1, 0, 0, 21, 32.88
39588743, cognitive, 5, 14, 15, 634, 710, 4, 11, 1262.803, 0.304347826086957, 0.11864406779661, 0.170731707317073, 365, -1, 0, 0, 21, 38.724
39588743, cognitive, 5, 14, 15, 637, 712, 4, 12, 375.755, 0.102564102564103, 0.0338983050847458, 0.0509554140127389, 378, -1, 0, 0, 21, 38.949
39588743, cognitive, 5, 14, 15, 637, 712, 4, 13, 330.64, 0.102564102564103, 0.0338983050847458, 0.0509554140127389, 378, -1, 0, 0, 21, 42.353
39588743, cognitive, 5, 14, 15, 637, 712, 5, 14, 337.17, 0.102564102564103, 0.0338983050847458, 0.0509554140127389, 378, -1, 0, 0, 21, 46.457
