(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(move-through-doorway arthur storage basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), success
(pickup arthur shinykey bar), success
(talk-to arthur oscar bar), success
(talk-to arthur mel bar), success
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(pickup arthur mushroom docks), success
(move-through-doorway arthur docks townarch), success
(talk-to arthur karina townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare valley), proximity error
(move-through-doorway arthur townsquare valley), success
(talk-to arthur james valley), proximity error
(talk-to arthur james valley), success
(give arthur james mushroom valley), failure
(move-through-doorway arthur valley townsquare), success
(talk-to arthur dave townsquare), success
(talk-to arthur frank townsquare), success
(give arthur shinykey frank townsquare), failure
(move-through-doorway arthur townsquare cliff), success
(pickup arthur bouquet cliff), proximity error
(pickup arthur bouquet cliff), success
(pickup arthur humanskull cliff), success
(drop arthur humanskull cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), failure
(open arthur mansionentrance cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(talk-to arthur avery mansion), success
(give arthur loveletter avery mansion), failure
(talk-to arthur jordan mansion), success
(give arthur loveletter jordan mansion), success
(give arthur bouquet jordan mansion), failure
(talk-to arthur jordan mansion), success
(talk-to arthur roger mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-doorway arthur docks junkyard), success
(talk-to arthur alli junkyard), success
(give arthur alli mushroom junkyard), failure
(pickup arthur mirror junkyard), proximity error
(pickup arthur mirror junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(talk-to arthur dorian townarch), success
(give arthur bouquet dorian townarch), success
(give dorian lovecontract arthur townarch), success
(drop arthur mushroom townarch), success
(drop arthur mirror townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare valley), success
(move-through-doorway arthur valley townsquare), success
(unlock-entrance arthur shinykey bankentrance townsquare), success
(look-at arthur frank townsquare), success
(talk-to arthur frank townsquare), success
(open arthur bankentrance townsquare), success
(look-at arthur bankentrance townsquare), success
(move-through-entrance arthur townsquare bankentrance bank), success
(pickup arthur coin bank), success
(pickup arthur silver bank), success
(move-through-entrance arthur bank bankexit townsquare), proximity error
(move-through-entrance arthur bank bankexit townsquare), success
(move-through-doorway arthur townsquare cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(give arthur lovecontract jordan mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-doorway arthur cliff townsquare), success
(talk-to arthur dave townsquare), success
(open arthur shopentrance townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(look-at arthur rubyring shop), success
(look-at arthur knightshield shop), success
(talk-to arthur giovanna shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare valley), success
(talk-to arthur james valley), success
(open arthur fortentrance valley), success
(move-through-entrance arthur valley fortentrance fort), success
(talk-to arthur phillip fort), proximity error
(look-at arthur phillip fort), success
(talk-to arthur phillip fort), success
(talk-to arthur camille fort), success
(talk-to arthur ian fort), proximity error
(talk-to arthur ian fort), success
(move-through-entrance arthur fort fortexit valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare townarch), success
(open arthur hutentrance townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(pickup arthur tastycupcake hut), success
(pickup arthur hairtonic hut), success
(drop arthur coin hut), success
(move-through-entrance arthur hut hutexit townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-doorway arthur docks junkyard), success
(give arthur alli tastycupcake junkyard), failure
(give arthur alli tastycupcake junkyard), failure
(talk-to arthur alli junkyard), success
(give arthur tastycupcake alli junkyard), success
(talk-to arthur alli junkyard), success
(give alli ash arthur junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(talk-to arthur giovanna shop), proximity error
(look-at arthur giovanna shop), success
(talk-to arthur giovanna shop), success
(give arthur giovanna hairtonic shop), failure
(give arthur hairtonic giovanna shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-entrance arthur docks barentrance bar), success
(talk-to arthur mel bar), success
