(open arthur basementbucket storage), failure
(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), success
(talk-to arthur mel storage), success
(drop arthur basementbucket storage), success
(give arthur basementbucket mel storage), failure
(give arthur basementbucket mel storage), failure
(look-at arthur basementbucket storage), success
(look-at arthur basementbucket storage), success
(give arthur basementbucket mel storage), failure
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(give arthur basementbucket mel storage), failure
(talk-to arthur mel storage), success
(give arthur basementbucket mel storage), failure
(talk-to arthur mel storage), success
(give arthur basementbucket mel storage), failure
(give arthur basementbucket mel storage), failure
(give arthur basementbucket mel storage), failure
(talk-to arthur mel storage), success
(move-through-doorway arthur storage mel), failure
(give arthur basementbucket mel storage), failure
(move-through-doorway arthur storage mel), failure
(move-through-doorway arthur storage mel), failure
(give arthur basementbucket mel storage), failure
(pickup arthur basementbucket storage), proximity error
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(give arthur basementbucket mel storage), failure
(talk-to arthur mel storage), success
(look-at arthur basementbucket storage), success
(pickup arthur basementbucket storage), proximity error
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(move-through-doorway arthur storage basement), success
(look-at arthur doorway toward storage basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), proximity error
(close arthur basemententrance bar), success
(pickup arthur shinykey bar), success
(talk-to arthur oscar bar), success
(unlock-entrance arthur shinykey barexit bar), failure
(look-at arthur mel bar), success
(look-at arthur mel bar), success
(talk-to arthur mel bar), proximity error
(talk-to arthur mel bar), success
(unlock-entrance arthur shinykey barexit bar), failure
(unlock-entrance arthur shinykey basemententrance bar), failure
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(talk-to arthur mushroom docks), failure
(pickup arthur mushroom docks), success
(pickup arthur mushroom docks), failure
(look-at arthur mushroom docks), success
(talk-to arthur mushroom docks), failure
(open arthur mushroom docks), failure
(open arthur doorway toward townarch docks), failure
(open arthur doorway toward townarch docks), failure
(open arthur doorway toward townarch docks), failure
(give arthur doorway toward townarch shinykey docks), failure
(move-through-entrance arthur docks barentrance bar), success
(move-through-entrance arthur bar barexit docks), proximity error
(move-through-entrance arthur bar barexit docks), success
(drop arthur mushroom docks), success
(move-through-doorway arthur docks mushroom), failure
(drop arthur mushroom docks), failure
(look-at arthur mushroom docks), success
(close arthur mushroom docks), failure
(pickup arthur mushroom docks), proximity error
(pickup arthur mushroom docks), success
(move-through-entrance arthur docks barentrance bar), success
(talk-to arthur oscar bar), success
(give arthur mushroom oscar bar), failure
(give arthur mushroom mel bar), failure
(open arthur basemententrance bar), success
(move-through-entrance arthur bar basemententrance basement), success
(move-through-doorway arthur basement storage), success
(move-through-doorway arthur storage basement), success
(move-through-entrance arthur basement basementexit bar), success
(move-through-entrance arthur bar barexit docks), success
(move-through-doorway arthur docks townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare valley), success
(talk-to arthur james valley), proximity error
(move-through-entrance arthur valley fortentrance fort), failure
(unlock-entrance arthur shinykey fortentrance valley), failure
(open arthur fortentrance valley), success
(move-through-entrance arthur valley fortentrance fort), proximity error
(move-through-entrance arthur valley fortentrance fort), success
(give arthur loveletter camille fort), failure
(give arthur loveletter ian fort), failure
(talk-to arthur phillip fort), proximity error
(talk-to arthur ian fort), success
(move-through-entrance arthur fort fortexit valley), success
(talk-to arthur james valley), success
(move-through-doorway arthur valley townsquare), success
(open arthur shopentrance townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(talk-to arthur giovanna shop), success
(give arthur loveletter giovanna shop), failure
(pickup arthur rubyring shop), proximity error
(pickup arthur rubyring shop), success
(pickup arthur knightshield shop), success
(move-through-entrance arthur shop shopexit townsquare), success
