(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(give arthur basementbucket mel storage), failure
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(move-through-doorway arthur storage basement), proximity error
(move-through-doorway arthur storage basement), success
(look-at arthur doorway toward storage basement), success
(look-at arthur doorway toward storage basement), success
(talk-to arthur mel basement), success
(look-at arthur doorway toward storage basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), proximity error
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), success
(talk-to arthur oscar bar), success
(pickup arthur shinykey bar), success
(unlock-entrance arthur shinykey barexit bar), failure
(open arthur barexit bar), success
(close arthur barexit bar), success
(look-at arthur barexit bar), success
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(look-at arthur mushroom docks), success
(pickup arthur mushroom docks), success
(move-through-doorway arthur docks townarch), proximity error
(move-through-doorway arthur docks townarch), success
(talk-to arthur karina townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare cliff), success
(look-at arthur mansionentrance cliff), success
(open arthur mansionentrance cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(talk-to arthur avery mansion), proximity error
(talk-to arthur avery mansion), success
(look-at arthur avery mansion), success
(give arthur loveletter avery mansion), failure
(talk-to arthur roger mansion), proximity error
(talk-to arthur roger mansion), success
(talk-to arthur jordan mansion), success
(give arthur loveletter jordan mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(talk-to arthur dorian townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare cliff), success
(pickup arthur bouquet cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(give arthur bouquet dorian townarch), success
(give dorian lovecontract arthur townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(give arthur lovecontract jordan mansion), proximity error
(give arthur lovecontract jordan mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-doorway arthur cliff townsquare), success
(look-at arthur frank townsquare), success
(talk-to arthur frank townsquare), success
(unlock-entrance arthur shinykey bankentrance townsquare), success
(talk-to arthur frank townsquare), success
(open arthur bankentrance townsquare), success
(move-through-entrance arthur townsquare bankentrance bank), success
(pickup arthur coin bank), success
(look-at arthur silver bank), success
(pickup arthur silver bank), success
(move-through-entrance arthur bank bankexit townsquare), success
(talk-to arthur dave townsquare), success
(move-through-doorway arthur townsquare valley), success
(talk-to arthur james valley), success
(give arthur coin james valley), success
(open arthur fortentrance valley), success
(move-through-entrance arthur valley fortentrance fort), success
(talk-to arthur phillip fort), proximity error
(talk-to arthur phillip fort), success
(talk-to arthur ian fort), success
(talk-to arthur camille fort), success
(talk-to arthur camille fort), success
(move-through-entrance arthur fort fortexit valley), success
(move-through-doorway arthur valley townsquare), success
(open arthur shopentrance townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(talk-to arthur giovanna shop), success
(pickup arthur knightshield shop), success
(pickup arthur rubyring shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare townarch), success
(move-through-entrance arthur townarch forgeentrance forge), failure
(open arthur forgeentrance townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(look-at arthur knightsword forge), success
(pickup arthur knightsword forge), success
(talk-to arthur peter forge), success
(look-at arthur rope forge), success
(pickup arthur rope forge), success
(talk-to arthur matthias forge), success
(move-through-entrance arthur forge forgeexit townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare valley), success
(talk-to arthur james valley), success
(move-through-entrance arthur valley fortentrance fort), success
(give arthur knightsword ian fort), success
(give arthur knightshield ian fort), success
(look-at arthur bucket fort), success
(pickup arthur bucket fort), success
(move-through-entrance arthur fort fortexit valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare townarch), success
(open arthur hutentrance townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(pickup arthur hairtonic hut), success
(look-at arthur book hut), success
(pickup arthur book hut), success
(look-at arthur tastycupcake hut), success
(drop arthur silver hut), success
(drop arthur mushroom hut), success
(move-through-entrance arthur hut hutexit townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(give arthur hairtonic giovanna shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare valley), success
(give arthur book james valley), failure
(talk-to arthur james valley), success
(move-through-doorway arthur valley townsquare), success
(talk-to arthur dave townsquare), proximity error
(talk-to arthur dave townsquare), success
(talk-to arthur frank townsquare), success
(move-through-doorway arthur townsquare townarch), success
(talk-to arthur karina townarch), success
(talk-to arthur dorian townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-entrance arthur docks barentrance bar), success
(move-through-entrance arthur bar barexit docks), success
(move-through-doorway arthur docks junkyard), success
(pickup arthur mirror junkyard), success
(talk-to arthur alli junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare valley), success
(give arthur mirror james valley), failure
(talk-to arthur james valley), success
(look-at arthur mirror valley), success
(drop arthur mirror valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare townarch), success
