playerid, systemconfiguration, numberofgoals, numberofoperatorsprecompilation, numberofpredicatesprecompilation, numberofoperatorspostcompilation, numberofpredicatespostcompilation, numberofobservationsinput, numberofplayeractionstaken, runtime, planrecognitionprecision, planrecognitionrecall, planrecognitionf1score, planrecognitionlevenshteindistance, goalrecognitionprecision, goalrecognitionrecall, goalrecognitionf1score, goalrecognitionlevenshteindistance, indextercalculationtime, numberofadoptedquestparts, numberofcompletedquestparts, numberofactivequestparts, averageinverseknowledgeofactivequestparts, numberofadoptedquests, numberofcompletedquests, numberofactivequests, averageinverseknowledgeofactivequests, equipquest-adopted, equipquest-complete, equipquest-knol, fetchquest-adopted, fetchquest-complete, fetchquest-knol, pilgrimagequest-adopted, pilgrimagequest-complete, pilgrimagequest-knol, lovequest-letter-adopted, lovequest-letter-complete, lovequest-letter-knol, lovequest-gift-adopted, lovequest-gift-complete, lovequest-gift-knol, lovequest-letter-adopted, lovequest-letter-complete, lovequest-letter-knol, lovequest-aggregate-adopted, lovequest-aggregate-complete, lovequest-avg-knol, wisdomquest-coin-adopted, wisdomquest-coin-complete, wisdomquest-coin-knol, wisdomquest-humanskull-adopted, wisdomquest-humanskull-complete, wisdomquest-humanskull-knol, wisdomquest-candle-adopted, wisdomquest-candle-complete, wisdomquest-candle-knol, wisdomquest-aggregate-adopted, wisdomquest-aggregate-complete, wisdomquest-avg-knol
-1236709656, cognitive, 26, 14, 15, 641, 706, 1, 1, 1246.243, 0.307692307692308, 0.122448979591837, 0.175182481751825, 308, -1, 0, 0, 21, 0, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
-1236709656, cognitive, 26, 14, 15, 642, 708, 2, 2, 1555.73, 0.142857142857143, 0.0714285714285714, 0.0952380952380952, 299, -1, 0, 0, 21, 594.157, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
-1236709656, cognitive, 26, 14, 15, 642, 708, 2, 3, 1106.546, 0.105263157894737, 0.0408163265306122, 0.0588235294117647, 312, -1, 0, 0, 21, 3.508, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
-1236709656, cognitive, 26, 14, 15, 642, 708, 2, 4, 1069.923, 0.075, 0.0306122448979592, 0.0434782608695652, 304, -1, 0, 0, 21, 4.456, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
-1236709656, cognitive, 26, 14, 15, 642, 708, 2, 5, 1255.076, 0.162790697674419, 0.0714285714285714, 0.099290780141844, 301, -1, 0, 0, 21, 4.802, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
-1236709656, cognitive, 26, 14, 15, 642, 708, 2, 6, 401, 0.34375, 0.112244897959184, 0.169230769230769, 329, -1, 0, 0, 21, 6, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
-1236709656, cognitive, 26, 14, 15, 642, 708, 2, 7, 1316.19, 0.261904761904762, 0.112244897959184, 0.157142857142857, 308, -1, 0, 0, 21, 7.115, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
-1236709656, cognitive, 26, 14, 15, 642, 708, 2, 8, 1321.168, 0.162790697674419, 0.0714285714285714, 0.099290780141844, 303, -1, 0, 0, 21, 7.887, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
-1236709656, cognitive, 26, 14, 15, 642, 708, 2, 9, 1252.435, 0.162790697674419, 0.0714285714285714, 0.099290780141844, 303, -1, 0, 0, 21, 9.083, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
-1236709656, cognitive, 26, 14, 15, 642, 708, 2, 10, 1277.46, 0.177777777777778, 0.0816326530612245, 0.111888111888112, 307, -1, 0, 0, 21, 11.156, 0, 0, 0, nan, 0, 0, 0, nan, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, -1, false, false, 0, false, false, -1, false, false, -1, false, false, -1, false, false, 0
