(look-at arthur mel storage), success
(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(move-through-doorway arthur storage basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), proximity error
(close arthur basemententrance bar), proximity error
(close arthur basemententrance bar), success
(pickup arthur shinykey bar), success
(talk-to arthur oscar bar), success
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(pickup arthur mushroom docks), success
(move-through-doorway arthur docks junkyard), success
(talk-to arthur alli junkyard), success
(look-at arthur mirror junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(open arthur hutentrance townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(talk-to arthur michael hut), success
(pickup arthur tastycupcake hut), success
(move-through-entrance arthur hut hutexit townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-doorway arthur docks junkyard), success
(give arthur tastycupcake alli junkyard), success
(give alli ash arthur junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(look-at arthur townsquare townarch), success
(look-at arthur townsquare townarch), failure
(talk-to arthur karina townarch), success
(open arthur forgeentrance townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(talk-to arthur matthias forge), success
(talk-to arthur peter forge), success
(move-through-entrance arthur forge forgeexit townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-entrance arthur docks barentrance bar), success
(move-through-entrance arthur bar barexit docks), proximity error
(move-through-entrance arthur bar barexit docks), success
(move-through-doorway arthur docks townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(pickup arthur rope forge), success
(move-through-entrance arthur forge forgeexit townarch), success
, failure
, failure
(look-at arthur mushroom townarch), success
(look-at arthur ash townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(look-at arthur book hut), success
(look-at arthur hairtonic hut), success
(pickup arthur hairtonic hut), success
(pickup arthur hairtonic hut), success
(drop arthur hairtonic hut), success
(move-through-entrance arthur hut hutexit townarch), success
(open arthur townsquare townarch), failure
(move-through-door arthur townarch towngate townsquare), success
(move-through-doorway arthur townsquare valley), proximity error
(move-through-doorway arthur townsquare valley), success
(move-through-doorway arthur valley townsquare), proximity error
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare cliff), success
(open arthur mansionentrance cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(talk-to arthur avery mansion), success
(talk-to arthur avery mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(pickup arthur bouquet cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(talk-to arthur jordan mansion), success
(talk-to arthur roger mansion), success
(talk-to arthur roger mansion), success
(talk-to arthur avery mansion), success
(drop arthur loveletter mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(drop arthur bouquet cliff), success
(move-through-doorway arthur cliff townsquare), success
(open arthur shopentrance townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(talk-to arthur giovanna shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-door arthur townsquare towngate townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(pickup arthur hairtonic hut), proximity error
(pickup arthur hairtonic hut), proximity error
(pickup arthur hairtonic hut), success
(move-through-entrance arthur hut hutexit townarch), success
(move-through-door arthur townarch towngate townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(give arthur hairtonic giovanna shop), success
(talk-to arthur giovanna shop), success
(pickup arthur rubyring shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(talk-to arthur avery mansion), success
(talk-to arthur jordan mansion), success
