(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(give arthur mel basementbucket storage), failure
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(give arthur basementbucket mel storage), failure
(look-at arthur doorway toward basement storage), success
(look-at arthur doorway toward basement storage), failure
(move-through-doorway arthur storage basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), success
(pickup arthur shinykey bar), success
(talk-to arthur oscar bar), proximity error
(talk-to arthur oscar bar), success
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(pickup arthur mushroom docks), success
(move-through-doorway arthur docks townarch), success
(talk-to arthur karina townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(open arthur hutentrance townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(pickup arthur hairtonic hut), success
(pickup arthur tastycupcake hut), success
(pickup arthur book hut), success
(talk-to arthur michael hut), success
(move-through-entrance arthur hut hutexit townarch), success
(open arthur forgeentrance townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(pickup arthur rope forge), success
(pickup arthur knightsword forge), proximity error
(pickup arthur knightsword forge), success
(look-at arthur book forge), success
(give arthur tastycupcake peter forge), failure
(drop arthur tastycupcake forge), success
(move-through-entrance arthur forge forgeexit townarch), proximity error
(move-through-entrance arthur forge forgeexit townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare cliff), success
(drop arthur book cliff), success
(drop arthur mushroom cliff), success
(drop arthur hairtonic cliff), success
(pickup arthur bouquet cliff), success
(open arthur mansionentrance cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(talk-to arthur avery mansion), success
(give arthur loveletter avery mansion), failure
(pickup arthur candle mansion), success
(look-at arthur mansionexit mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(drop arthur bouquet cliff), success
(drop arthur candle cliff), success
(pickup arthur mushroom cliff), success
(pickup arthur bouquet cliff), success
(drop arthur mushroom cliff), success
(drop arthur bouquet cliff), success
(move-through-doorway arthur cliff townsquare), success
(open arthur bankentrance townsquare), failure
(open arthur shopentrance townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(pickup arthur rubyring shop), success
(pickup arthur knightshield shop), proximity error
(pickup arthur knightshield shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare valley), proximity error
(move-through-doorway arthur townsquare valley), success
(open arthur fortentrance valley), success
(move-through-entrance arthur valley fortentrance fort), success
(give arthur camille loveletter fort), failure
(pickup arthur bucket fort), success
(move-through-entrance arthur fort fortexit valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare cliff), success
(drop arthur knightshield cliff), success
(drop arthur bucket cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(give arthur rubyring avery mansion), failure
(look-at arthur avery mansion), success
(talk-to arthur avery mansion), success
(talk-to arthur roger mansion), success
(talk-to arthur jordan mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(drop arthur rubyring cliff), success
(pickup arthur bouquet cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(talk-to arthur dorian townarch), success
(move-through-doorway arthur townarch docks), proximity error
(move-through-doorway arthur townarch docks), success
(move-through-doorway arthur docks junkyard), success
(move-through-doorway arthur junkyard mirror), failure
(talk-to arthur alli junkyard), proximity error
(talk-to arthur alli junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), proximity error
(move-through-doorway arthur docks townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare cliff), success
(pickup arthur mushroom cliff), success
(look-at arthur doorway toward townsquare cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(move-through-entrance arthur hut hutexit townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(pickup arthur tastycupcake forge), success
(move-through-entrance arthur forge forgeexit townarch), success
(drop arthur mushroom townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-doorway arthur docks junkyard), success
(give arthur tastycupcake alli junkyard), success
(give alli ash arthur junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(move-through-doorway arthur townarch townsquare), proximity error
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare cliff), success
(unlock-entrance arthur loveletter mansionentrance cliff), failure
(move-through-entrance arthur cliff mansionentrance mansion), success
, failure
(give arthur loveletter avery mansion), failure
(give arthur loveletter roger mansion), failure
(give arthur loveletter jordan mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(give arthur bouquet dorian townarch), success
(give dorian lovecontract arthur townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(give arthur lovecontract jordan mansion), success
(talk-to arthur avery mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-doorway arthur cliff townsquare), success
(talk-to arthur dave townsquare), success
(talk-to arthur frank townsquare), success
(unlock-entrance arthur shinykey bankentrance townsquare), proximity error
(unlock-entrance arthur shinykey bankentrance townsquare), success
(open arthur bankentrance townsquare), success
(move-through-entrance arthur townsquare bankentrance bank), success
(pickup arthur silver bank), success
(pickup arthur coin bank), success
(move-through-entrance arthur bank bankexit townsquare), success
(talk-to arthur frank townsquare), success
