(pickup arthur shinykey bar), success
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(pickup arthur mushroom docks), success
(move-through-doorway arthur docks townarch), success
(open arthur dorian townarch), failure
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(talk-to arthur karina townarch), success
(talk-to arthur karina townarch), success
(talk-to arthur karina townarch), success
(open arthur hutentrance townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(open arthur book hut), failure
(pickup arthur book hut), success
(pickup arthur tastycupcake hut), success
(pickup arthur hairtonic hut), success
(talk-to arthur michael hut), success
(move-through-entrance arthur hut hutexit townarch), success
(open arthur forgeentrance townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(pickup arthur rope forge), success
(pickup arthur knightsword forge), success
(talk-to arthur matthias forge), success
(talk-to arthur peter forge), success
(move-through-entrance arthur forge forgeexit townarch), success
(move-through-door arthur townarch towngate townsquare), success
(talk-to arthur frank townsquare), proximity error
(talk-to arthur frank townsquare), success
(talk-to arthur frank townsquare), success
(open arthur shopentrance townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(pickup arthur knightshield shop), success
(pickup arthur rubyring shop), success
(talk-to arthur giovanna shop), success
(give arthur hairtonic giovanna shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(open arthur bankentrance townsquare), failure
(talk-to arthur dave townsquare), success
(move-through-doorway arthur townsquare valley), success
(talk-to arthur james valley), success
(talk-to arthur james valley), success
(talk-to arthur james valley), success
(move-through-entrance arthur valley fortentrance fort), failure
(open arthur fortentrance valley), success
(move-through-entrance arthur valley fortentrance fort), success
(pickup arthur bucket fort), success
(talk-to arthur ian fort), success
(give arthur knightsword ian fort), success
(talk-to arthur camille fort), success
(talk-to arthur camille fort), success
(talk-to arthur phillip fort), success
(move-through-entrance arthur fort fortexit valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(talk-to arthur giovanna shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare cliff), success
(pickup arthur bouquet cliff), success
(pickup arthur humanskull cliff), success
(open arthur mansionentrance cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(pickup arthur candle mansion), success
(talk-to arthur jordan mansion), success
(give arthur loveletter jordan mansion), success
(talk-to arthur avery mansion), success
(talk-to arthur roger mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-door arthur townsquare towngate townarch), success
, success
(give arthur rubyring dorian townarch), success
(give dorian lovecontract arthur townarch), success
(move-through-door arthur townarch towngate townsquare), success
(move-through-doorway arthur townsquare cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(give arthur lovecontract jordan mansion), proximity error
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(talk-to arthur roger mansion), success
(talk-to arthur avery mansion), success
(give arthur lovecontract jordan mansion), proximity error
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-door arthur townsquare towngate townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-doorway arthur docks junkyard), success
(talk-to arthur alli junkyard), success
(pickup arthur mirror junkyard), success
(pickup arthur mirror junkyard), success
(give arthur tastycupcake alli junkyard), success
(give alli ash arthur junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-entrance arthur docks barentrance bar), success
(move-through-entrance arthur bar barexit docks), success
(move-through-doorway arthur docks townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(move-through-entrance arthur forge forgeexit townarch), proximity error
(move-through-entrance arthur forge forgeexit townarch), success
(move-through-door arthur townarch towngate townsquare), success
(move-through-doorway arthur townsquare valley), success
, success
, success
, success
, success
(move-through-entrance arthur valley fortentrance fort), success
(give arthur knightshield ian fort), success
(talk-to arthur phillip fort), success
(move-through-entrance arthur fort fortexit valley), proximity error
(move-through-entrance arthur fort fortexit valley), success
, success
(talk-to arthur james valley), success
(move-through-doorway arthur valley townsquare), success
(unlock-entrance arthur shinykey bankentrance), success
(move-through-entrance arthur townsquare bankentrance bank), failure
(move-through-entrance arthur townsquare bankentrance bank), failure
(move-through-entrance arthur townsquare bankentrance bank), failure
(move-through-entrance arthur townsquare bankentrance bank), failure
(open arthur bankentrance townsquare), success
(move-through-entrance arthur townsquare bankentrance bank), success
(look-at arthur silver bank), success
(pickup arthur silver bank), success
(pickup arthur coin bank), proximity error
(pickup arthur coin bank), success
(move-through-entrance arthur bank bankexit townsquare), success
(move-through-doorway arthur townsquare valley), success
(give arthur coin james valley), success
(give arthur coin james valley), success
(talk-to arthur james valley), success
(give arthur humanskull james valley), success
(give arthur candle james valley), success
(move-through-doorway arthur valley valley), failure
(move-through-doorway arthur valley townsquare), success
(move-through-door arthur townsquare towngate townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-entrance arthur docks barentrance bar), success
(talk-to arthur mel bar), success
