(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), proximity error
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(move-through-doorway arthur storage basement), proximity error
(move-through-doorway arthur storage basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), success
(look-at arthur shinykey bar), success
(pickup arthur shinykey bar), success
(look-at arthur barexit bar), success
(look-at arthur oscar bar), success
(talk-to arthur oscar bar), success
(unlock-entrance arthur shinykey barexit bar), failure
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(look-at arthur mushroom docks), success
(pickup arthur mushroom docks), success
(move-through-doorway arthur docks junkyard), success
(talk-to arthur alli junkyard), success
(look-at arthur mirror junkyard), success
(pickup arthur mirror junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(look-at arthur dorian townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(talk-to arthur karina townarch), success
(open arthur forgeentrance townarch), success
(look-at arthur forgeentrance townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(talk-to arthur matthias forge), proximity error
(talk-to arthur matthias forge), success
(talk-to arthur peter forge), success
(move-through-entrance arthur forge forgeexit townarch), success
(look-at arthur townsquare townarch), success
(look-at arthur townsquare townarch), success
(look-at arthur townsquare townarch), success
(look-at arthur townsquare townarch), success
(look-at arthur townsquare townarch), success
(look-at arthur townsquare townarch), success
(look-at arthur townsquare townarch), success
(look-at arthur shinykey townarch), success
(look-at arthur townsquare townarch), success
(look-at arthur doorway toward docks townarch), success
(move-through-door arthur townarch towngate townsquare), success
(move-through-doorway arthur townsquare frank), failure
(talk-to arthur frank townsquare), success
(talk-to arthur frank townsquare), success
(look-at arthur bankentrance townsquare), success
(unlock-entrance arthur shinykey bankentrance townsquare), success
(open arthur bankentrance townsquare), success
(move-through-entrance arthur townsquare bankentrance bank), success
