PlayerId, SystemConfiguration, NumberOfGoals, NumberOfOperatorsPreCompilation, NumberOfPredicatesPreCompilation, NumberOfOperatorsPostCompilation, NumberOfPredicatesPostCompilation, NumberOfObservationsInput, NumberOfPlayerActionsTaken, Runtime, PlanRecognitionPrecision, PlanRecognitionRecall, PlanRecognitionF1Score, PlanRecognitionLevenshteinDistance, GoalRecognitionPrecision, GoalRecognitionRecall, GoalRecognitionF1Score, GoalRecognitionLevenshteinDistance
-5811686, Baseline, 26, 14, 15, 641, 706, 1, 1, 1646.962, 0.179487179487179, 0.0648148148148148, 0.0952380952380952, 346, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 642, 708, 2, 2, 1944.861, 0.142857142857143, 0.0648148148148148, 0.089171974522293, 339, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 644, 710, 3, 3, 1931.004, 0.0697674418604651, 0.0277777777777778, 0.0397350993377483, 354, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 647, 712, 4, 4, 2431.933, 0.208333333333333, 0.0925925925925926, 0.128205128205128, 341, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 651, 714, 5, 5, 2620.437, 0.2, 0.0925925925925926, 0.126582278481013, 339, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 656, 716, 6, 6, 2878.549, 0.294117647058824, 0.138888888888889, 0.188679245283019, 337, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 662, 718, 7, 7, 599.76, 0.314285714285714, 0.101851851851852, 0.153846153846154, 361, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 669, 720, 8, 8, 617.321, 0.282051282051282, 0.101851851851852, 0.149659863945578, 344, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 677, 722, 9, 9, 619.663, 0.282051282051282, 0.101851851851852, 0.149659863945578, 344, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 686, 724, 10, 10, 646.147, 0.375, 0.138888888888889, 0.202702702702703, 340, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 696, 726, 11, 11, 676.607, 0.380952380952381, 0.148148148148148, 0.213333333333333, 331, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 707, 728, 12, 12, 711.805, 0.380952380952381, 0.148148148148148, 0.213333333333333, 331, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 719, 730, 13, 13, 708.147, 0.4, 0.148148148148148, 0.216216216216216, 342, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 732, 732, 14, 14, 694.412, 0.51219512195122, 0.194444444444444, 0.281879194630872, 337, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 746, 734, 15, 15, 717.04, 0.452380952380952, 0.175925925925926, 0.253333333333333, 336, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 761, 736, 16, 16, 744.687, 0.659090909090909, 0.268518518518519, 0.381578947368421, 326, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 777, 738, 17, 17, 795.417, 0.422222222222222, 0.175925925925926, 0.248366013071895, 322, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 794, 740, 18, 18, 846.661, 0.521739130434783, 0.222222222222222, 0.311688311688312, 318, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 812, 742, 19, 19, 869.369, 0.521739130434783, 0.222222222222222, 0.311688311688312, 318, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 831, 744, 20, 20, 7916.34, 0.161764705882353, 0.101851851851852, 0.125, 308, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 851, 746, 21, 21, 9970.83, 0.135593220338983, 0.0740740740740741, 0.0958083832335329, 324, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 872, 748, 22, 22, 9973.039, 0.117647058823529, 0.0740740740740741, 0.0909090909090909, 298, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 894, 750, 23, 23, 12282.244, 0.169230769230769, 0.101851851851852, 0.127167630057803, 311, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 917, 752, 24, 24, 11082.187, 0.142857142857143, 0.0925925925925926, 0.112359550561798, 325, 1, 0.6, 0.75, 24
-5811686, Baseline, 26, 14, 15, 941, 754, 25, 25, 11907.157, 0.217391304347826, 0.138888888888889, 0.169491525423729, 333, 1, 0.6, 0.75, 24
-5811686, Baseline, 26, 14, 15, 966, 756, 26, 26, 1162.433, 0.653846153846154, 0.314814814814815, 0.425, 274, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 992, 758, 27, 27, 16736.129, 0.211267605633803, 0.138888888888889, 0.167597765363128, 334, 1, 0.6, 0.75, 24
-5811686, Baseline, 26, 14, 15, 1019, 760, 28, 28, 21012.792, 0.159420289855072, 0.101851851851852, 0.124293785310734, 317, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1047, 762, 29, 29, 1356.998, 0.690909090909091, 0.351851851851852, 0.466257668711656, 267, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 1076, 764, 30, 30, 1406.144, 0.690909090909091, 0.351851851851852, 0.466257668711656, 265, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 1106, 766, 31, 31, 1457.878, 0.690909090909091, 0.351851851851852, 0.466257668711656, 265, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 1137, 768, 32, 32, 1555.556, 0.684210526315789, 0.361111111111111, 0.472727272727273, 258, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 1169, 770, 33, 33, 1722.522, 0.701754385964912, 0.37037037037037, 0.484848484848485, 253, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 1202, 772, 34, 34, 184513.273, 0.0886075949367089, 0.0648148148148148, 0.0748663101604278, 301, 1, 0.6, 0.75, 22
-5811686, Baseline, 26, 14, 15, 1236, 774, 35, 35, 2005.909, 0.655172413793103, 0.351851851851852, 0.457831325301205, 255, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1271, 776, 36, 36, 238745.774, 0.171052631578947, 0.12037037037037, 0.141304347826087, 308, 1, 0.6, 0.75, 22
-5811686, Baseline, 26, 14, 15, 1308, 778, 37, 37, 2165.997, 0.7, 0.388888888888889, 0.5, 243, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 1346, 780, 38, 38, 313209.061, 0.173913043478261, 0.148148148148148, 0.16, 299, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1385, 782, 39, 39, 328112.865, 0.172043010752688, 0.148148148148148, 0.159203980099502, 304, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1424, 784, 40, 40, 2582.598, 0.73015873015873, 0.425925925925926, 0.538011695906433, 241, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1464, 786, 41, 41, 296530.429, 0.172413793103448, 0.138888888888889, 0.153846153846154, 307, 1, 0.6, 0.75, 22
-5811686, Baseline, 26, 14, 15, 1505, 788, 42, 42, 320203.848, 0.155555555555556, 0.12962962962963, 0.141414141414141, 316, 1, 0.6, 0.75, 19
-5811686, Baseline, 26, 14, 15, 1547, 790, 43, 43, 290190.412, 0.179775280898876, 0.148148148148148, 0.16243654822335, 307, 1, 0.6, 0.75, 22
-5811686, Baseline, 26, 14, 15, 1591, 792, 44, 44, 3205.351, 0.806451612903226, 0.462962962962963, 0.588235294117647, 223, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1636, 794, 45, 45, 3355.143, 0.712121212121212, 0.435185185185185, 0.540229885057471, 229, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1681, 796, 46, 46, 3320.308, 0.806451612903226, 0.462962962962963, 0.588235294117647, 221, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1728, 798, 47, 47, 3407.77, 0.806451612903226, 0.462962962962963, 0.588235294117647, 221, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1776, 800, 48, 48, 3516.18, 0.806451612903226, 0.462962962962963, 0.588235294117647, 221, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1825, 802, 49, 49, 3725.037, 0.796875, 0.472222222222222, 0.593023255813953, 211, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 1875, 804, 50, 50, 3937.623, 0.84375, 0.5, 0.627906976744186, 215, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 1925, 806, 51, 51, 4046.934, 0.84375, 0.5, 0.627906976744186, 215, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 1977, 808, 52, 52, 4405.872, 0.865671641791045, 0.537037037037037, 0.662857142857143, 188, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2030, 810, 53, 53, 4917.158, 0.865671641791045, 0.537037037037037, 0.662857142857143, 188, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2084, 812, 54, 54, 4983.865, 0.865671641791045, 0.537037037037037, 0.662857142857143, 188, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2138, 814, 55, 55, 5152.366, 0.865671641791045, 0.537037037037037, 0.662857142857143, 188, 1, 0.6, 0.75, 13
