(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(move-through-doorway arthur storage basement), success
(look-at arthur doorway toward storage basement), success
(look-at arthur doorway toward storage basement), success
(look-at arthur basementexit basement), success
(look-at arthur mel basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), success
(pickup arthur shinykey bar), success
(talk-to arthur oscar bar), success
(look-at arthur oscar bar), success
(talk-to arthur mel bar), success
(look-at arthur mel bar), success
(unlock-entrance arthur shinykey barexit bar), failure
(move-through-entrance arthur bar barexit docks), failure
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(look-at arthur mushroom docks), success
(pickup arthur mushroom docks), success
(move-through-doorway arthur docks townarch), success
(look-at arthur karina townarch), success
(look-at arthur dorian townarch), success
(look-at arthur hutentrance townarch), success
(look-at arthur forgeentrance townarch), success
(look-at arthur doorway toward townsquare townarch), success
(talk-to arthur karina townarch), success
(look-at arthur dorian townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(move-through-doorway arthur townarch townsquare), success
(look-at arthur dave townsquare), success
(look-at arthur frank townsquare), success
(talk-to arthur dave townsquare), success
(talk-to arthur frank townsquare), success
(look-at arthur loveletter townsquare), success
(look-at arthur doorway toward valley townsquare), success
(move-through-doorway arthur townsquare townarch), success
(talk-to arthur dorian townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare cliff), success
(look-at arthur humanskull cliff), success
(look-at arthur bouquet cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), failure
(pickup arthur bouquet cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(talk-to arthur dorian townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare valley), success
(look-at arthur james valley), success
(talk-to arthur james valley), success
(look-at arthur fortentrance valley), success
(move-through-entrance arthur valley fortentrance fort), failure
(move-through-doorway arthur valley townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), failure
(move-through-doorway arthur townsquare townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-entrance arthur docks barentrance bar), success
(look-at arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(move-through-doorway arthur docks junkyard), success
(look-at arthur alli junkyard), success
(look-at arthur mirror junkyard), success
(talk-to arthur alli junkyard), proximity error
(talk-to arthur alli junkyard), success
(pickup arthur mirror junkyard), success
(give arthur mushroom alli junkyard), failure
(talk-to arthur alli junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(open arthur forgeentrance townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(talk-to arthur matthias forge), success
(talk-to arthur peter forge), success
(look-at arthur knightsword forge), success
(move-through-entrance arthur forge forgeexit townarch), success
(open arthur hutentrance townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(talk-to arthur michael hut), success
(give arthur mushroom michael hut), failure
(move-through-entrance arthur hut hutexit townarch), success
(move-through-doorway arthur townarch townsquare), success
(open arthur shopentrance townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(look-at arthur giovanna shop), success
(talk-to arthur giovanna shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(pickup arthur hairtonic hut), success
(drop arthur mushroom hut), success
(move-through-entrance arthur hut hutexit townarch), success
(look-at arthur hutentrance townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(move-through-entrance arthur hut hutexit townarch), success
(move-through-doorway arthur townarch docks), proximity error
(move-through-doorway arthur townarch docks), success
(drop arthur bouquet docks), success
(drop arthur mirror docks), success
(move-through-doorway arthur docks townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-doorway arthur docks townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(give arthur hairtonic giovanna shop), success
(look-at arthur rubyring shop), success
(pickup arthur rubyring shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare valley), success
(give arthur rubyring james valley), failure
(open arthur fortentrance valley), success
(move-through-entrance arthur valley fortentrance fort), success
(look-at arthur ian fort), success
(look-at arthur phillip fort), success
(look-at arthur camille fort), success
(talk-to arthur camille fort), success
(look-at arthur phillip fort), success
(talk-to arthur phillip fort), success
(talk-to arthur ian fort), success
(look-at arthur bucket fort), success
(move-through-entrance arthur fort fortexit valley), success
(drop arthur rubyring valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(pickup arthur knightshield shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(pickup arthur knightsword forge), proximity error
(pickup arthur knightsword forge), success
(move-through-entrance arthur forge forgeexit townarch), success
