(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), failure
(drop arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(give arthur basementbucket mel storage), failure
(talk-to arthur mel storage), success
(move-through-doorway arthur storage basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), success
(look-at arthur shinykey bar), success
(pickup arthur shinykey bar), success
(talk-to arthur oscar bar), success
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(look-at arthur mushroom docks), success
(move-through-doorway arthur docks townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(talk-to arthur karina townarch), success
(look-at arthur hutentrance townarch), success
(open arthur hutentrance townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(look-at arthur tastycupcake hut), success
(look-at arthur book hut), success
(look-at arthur hairtonic hut), success
(look-at arthur michael hut), success
(talk-to arthur michael hut), success
(pickup arthur hairtonic hut), success
(pickup arthur tastycupcake hut), success
(pickup arthur book hut), proximity error
(pickup arthur book hut), success
(move-through-entrance arthur hut hutexit townarch), success
(drop arthur shinykey townarch), success
(drop arthur hairtonic townarch), success
(drop arthur tastycupcake townarch), success
(drop arthur book townarch), success
(pickup arthur tastycupcake townarch), success
(drop arthur tastycupcake townarch), success
(open arthur forgeentrance townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(talk-to arthur matthias forge), proximity error
(talk-to arthur matthias forge), success
(talk-to arthur peter forge), success
(pickup arthur rope forge), success
(pickup arthur knightsword forge), success
(move-through-entrance arthur forge forgeexit townarch), success
(drop arthur rope townarch), success
(drop arthur knightsword townarch), success
(move-through-doorway arthur townarch townsquare), success
(talk-to arthur frank townsquare), proximity error
(talk-to arthur frank townsquare), success
(talk-to arthur dave townsquare), success
(look-at arthur bankentrance townsquare), success
(move-through-doorway arthur townsquare townarch), success
(pickup arthur shinykey townarch), success
(move-through-doorway arthur townarch townsquare), success
(unlock-entrance arthur shinykey bankentrance townsquare), success
(open arthur bankentrance townsquare), success
(talk-to arthur frank townsquare), success
(move-through-entrance arthur townsquare bankentrance bank), success
(pickup arthur coin bank), success
(pickup arthur silver bank), proximity error
(pickup arthur silver bank), proximity error
(pickup arthur silver bank), success
(move-through-entrance arthur bank bankexit townsquare), success
(drop arthur coin townsquare), success
(drop arthur silver townsquare), success
(open arthur shopentrance townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(talk-to arthur giovanna shop), proximity error
(talk-to arthur giovanna shop), success
(move-through-entrance arthur shop shopexit townsquare), proximity error
(move-through-entrance arthur shop shopexit townsquare), success
(move-through-doorway arthur townsquare townarch), success
(pickup arthur hairtonic townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-entrance arthur townsquare shopentrance shop), success
(give arthur giovanna hairtonic shop), failure
(give arthur giovanna hairtonic shop), failure
(talk-to arthur giovanna shop), success
(give arthur hairtonic giovanna shop), success
(talk-to arthur giovanna shop), success
(pickup arthur knightshield shop), success
(pickup arthur rubyring shop), success
(move-through-entrance arthur shop shopexit townsquare), success
(drop arthur knightshield townsquare), success
(drop arthur rubyring townsquare), success
(move-through-doorway arthur townsquare townarch), proximity error
(move-through-doorway arthur townsquare townarch), success
(pickup arthur knightsword townarch), success
(pickup arthur knightsword townarch), failure
(drop arthur knightsword townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare cliff), success
(open arthur mansionentrance cliff), proximity error
(open arthur mansionentrance cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(talk-to arthur jordan mansion), success
(give arthur loveletter jordan mansion), success
(talk-to arthur roger mansion), success
(talk-to arthur avery mansion), success
(look-at arthur avery mansion), success
(move-through-entrance arthur mansion mansionexit cliff), proximity error
(move-through-entrance arthur mansion mansionexit cliff), success
