PlayerId, SystemConfiguration, NumberOfGoals, NumberOfOperatorsPreCompilation, NumberOfPredicatesPreCompilation, NumberOfOperatorsPostCompilation, NumberOfPredicatesPostCompilation, NumberOfObservationsInput, NumberOfPlayerActionsTaken, Runtime, PlanRecognitionPrecision, PlanRecognitionRecall, PlanRecognitionF1Score, PlanRecognitionLevenshteinDistance, GoalRecognitionPrecision, GoalRecognitionRecall, GoalRecognitionF1Score, GoalRecognitionLevenshteinDistance, IndexterCalculationTime
248479030, cognitive, 5, 14, 15, 631, 706, 1, 1, 2275.532, 0.289473684210526, 0.130952380952381, 0.180327868852459, 262, -1, 0, 0, 21, 0
248479030, cognitive, 5, 14, 15, 632, 708, 2, 2, 2253.058, 0.134615384615385, 0.0833333333333333, 0.102941176470588, 254, -1, 0, 0, 21, 1205.089
248479030, cognitive, 5, 14, 15, 632, 708, 2, 3, 1643.784, 0.135135135135135, 0.0595238095238095, 0.0826446280991735, 266, -1, 0, 0, 21, 13.612
248479030, cognitive, 5, 14, 15, 632, 708, 2, 4, 1620.079, 0.102564102564103, 0.0476190476190476, 0.0650406504065041, 258, -1, 0, 0, 21, 18.855
248479030, cognitive, 5, 14, 15, 632, 708, 2, 5, 1930.036, 0.195652173913043, 0.107142857142857, 0.138461538461538, 254, -1, 0, 0, 21, 24.445
248479030, cognitive, 5, 14, 15, 634, 710, 3, 6, 1964.831, 0.217391304347826, 0.119047619047619, 0.153846153846154, 256, -1, 0, 0, 21, 28.723
248479030, cognitive, 5, 14, 15, 634, 710, 3, 7, 2076.28, 0.12, 0.0714285714285714, 0.0895522388059701, 250, -1, 0, 0, 21, 33.856
248479030, cognitive, 5, 14, 15, 634, 710, 3, 8, 1928.702, 0.177777777777778, 0.0952380952380952, 0.124031007751938, 257, -1, 0, 0, 21, 38.393
248479030, cognitive, 5, 14, 15, 635, 710, 3, 9, 2019.76, 0.14, 0.0833333333333333, 0.104477611940299, 248, -1, 0, 0, 21, 42.231
248479030, cognitive, 5, 14, 15, 638, 712, 4, 10, 592.412, 0.15, 0.0714285714285714, 0.0967741935483871, 259, -1, 0, 0, 21, 52.06
248479030, cognitive, 5, 14, 15, 638, 712, 4, 11, 2216.063, 0.122448979591837, 0.0714285714285714, 0.0902255639097744, 240, -1, 0, 0, 21, 57.381
248479030, cognitive, 5, 14, 15, 637, 712, 4, 12, 1979.296, 0.195652173913043, 0.107142857142857, 0.138461538461538, 254, -1, 0, 0, 21, 53.299
248479030, cognitive, 5, 14, 15, 638, 712, 4, 13, 2372.642, 0.109090909090909, 0.0714285714285714, 0.0863309352517986, 242, -1, 0, 0, 21, 59.831
248479030, cognitive, 5, 14, 15, 642, 714, 5, 14, 2005.962, 0.127659574468085, 0.0714285714285714, 0.0916030534351145, 253, -1, 0, 0, 21, 65.239
248479030, cognitive, 5, 14, 15, 641, 714, 5, 15, 1834.641, 0.155555555555556, 0.0833333333333333, 0.108527131782946, 257, -1, 0, 0, 21, 75.124
248479030, cognitive, 5, 14, 15, 641, 714, 5, 16, 2539.056, 0.173913043478261, 0.0952380952380952, 0.123076923076923, 260, -1, 0, 0, 21, 71.341
248479030, cognitive, 5, 14, 15, 641, 714, 5, 17, 2454.914, 0.173913043478261, 0.0952380952380952, 0.123076923076923, 260, -1, 0, 0, 21, 78.328
248479030, cognitive, 5, 14, 15, 641, 714, 6, 18, 2384.926, 0.173913043478261, 0.0952380952380952, 0.123076923076923, 260, -1, 0, 0, 21, 91.476
248479030, cognitive, 5, 14, 15, 641, 714, 6, 19, 2401.845, 0.173913043478261, 0.0952380952380952, 0.123076923076923, 260, -1, 0, 0, 21, 96.794
248479030, cognitive, 5, 14, 15, 641, 714, 6, 20, 2526.5, 0.173913043478261, 0.0952380952380952, 0.123076923076923, 260, -1, 0, 0, 21, 95.907
248479030, cognitive, 5, 14, 15, 641, 714, 6, 21, 2442.571, 0.173913043478261, 0.0952380952380952, 0.123076923076923, 260, -1, 0, 0, 21, 97.627
248479030, cognitive, 5, 14, 15, 641, 714, 7, 22, 2427.193, 0.173913043478261, 0.0952380952380952, 0.123076923076923, 260, -1, 0, 0, 21, 102.656
248479030, cognitive, 5, 14, 15, 641, 714, 7, 23, 2474.283, 0.173913043478261, 0.0952380952380952, 0.123076923076923, 260, -1, 0, 0, 21, 106.498
248479030, cognitive, 5, 14, 15, 652, 718, 7, 24, 1785.709, 0.1, 0.0476190476190476, 0.0645161290322581, 260, -1, 0, 0, 21, 107.533
248479030, cognitive, 5, 14, 15, 652, 718, 7, 25, 1746.502, 0.1, 0.0476190476190476, 0.0645161290322581, 260, -1, 0, 0, 21, 115.812
248479030, cognitive, 5, 14, 15, 652, 718, 8, 26, 1735.303, 0.1, 0.0476190476190476, 0.0645161290322581, 260, -1, 0, 0, 21, 120.436
248479030, cognitive, 5, 14, 15, 652, 718, 8, 27, 1803.532, 0.1, 0.0476190476190476, 0.0645161290322581, 260, -1, 0, 0, 21, 126.533
248479030, cognitive, 5, 14, 15, 659, 720, 8, 28, 3228.226, 0.185185185185185, 0.119047619047619, 0.144927536231884, 240, -1, 0, 0, 21, 123.36
248479030, cognitive, 5, 14, 15, 659, 720, 8, 29, 3074.052, 0.185185185185185, 0.119047619047619, 0.144927536231884, 240, -1, 0, 0, 21, 137.769
248479030, cognitive, 5, 14, 15, 668, 722, 9, 30, 3801.283, 0.19047619047619, 0.142857142857143, 0.163265306122449, 234, -1, 0, 0, 21, 135.96
248479030, cognitive, 5, 14, 15, 669, 722, 9, 31, 3971.947, 0.159420289855072, 0.130952380952381, 0.143790849673203, 230, -1, 0, 0, 21, 146.556
248479030, cognitive, 5, 14, 15, 669, 722, 9, 32, 3876.554, 0.159420289855072, 0.130952380952381, 0.143790849673203, 230, -1, 0, 0, 21, 146.973
248479030, cognitive, 5, 14, 15, 670, 722, 9, 33, 3170.253, 0.145454545454545, 0.0952380952380952, 0.115107913669065, 242, -1, 0, 0, 21, 174.127
248479030, cognitive, 5, 14, 15, 679, 724, 10, 34, 3629.439, 0.163636363636364, 0.107142857142857, 0.129496402877698, 247, -1, 0, 0, 21, 158.2
248479030, cognitive, 5, 14, 15, 679, 724, 10, 35, 609.71, 0.245283018867925, 0.154761904761905, 0.18978102189781, 241, -1, 0, 0, 21, 163.982
248479030, cognitive, 5, 14, 15, 679, 724, 10, 36, 578.894, 0.245283018867925, 0.154761904761905, 0.18978102189781, 241, -1, 0, 0, 21, 164.189
248479030, cognitive, 5, 14, 15, 679, 724, 10, 37, 578.631, 0.245283018867925, 0.154761904761905, 0.18978102189781, 241, -1, 0, 0, 21, 176.752
248479030, cognitive, 5, 14, 15, 679, 724, 11, 38, 584.12, 0.245283018867925, 0.154761904761905, 0.18978102189781, 241, -1, 0, 0, 21, 176.061
248479030, cognitive, 5, 14, 15, 679, 724, 11, 39, 584.877, 0.245283018867925, 0.154761904761905, 0.18978102189781, 241, -1, 0, 0, 21, 180.674
248479030, cognitive, 5, 14, 15, 679, 724, 11, 40, 554.917, 0.245283018867925, 0.154761904761905, 0.18978102189781, 241, -1, 0, 0, 21, 187.125
248479030, cognitive, 5, 14, 15, 686, 726, 11, 41, 5047.432, 0.2, 0.154761904761905, 0.174496644295302, 241, -1, 0, 0, 21, 196.867
248479030, cognitive, 5, 14, 15, 697, 728, 12, 42, 5653.275, 0.151515151515152, 0.119047619047619, 0.133333333333333, 238, -1, 0, 0, 21, 187.271
248479030, cognitive, 5, 14, 15, 697, 728, 12, 43, 706.329, 0.2, 0.107142857142857, 0.13953488372093, 252, -1, 0, 0, 21, 211.074
248479030, cognitive, 5, 14, 15, 697, 728, 12, 44, 5912.643, 0.116666666666667, 0.0833333333333333, 0.0972222222222222, 245, -1, 0, 0, 21, 200.594
248479030, cognitive, 5, 14, 15, 697, 728, 12, 45, 4300.329, 0.232142857142857, 0.154761904761905, 0.185714285714286, 222, -1, 0, 0, 21, 204.307
248479030, cognitive, 5, 14, 15, 697, 728, 13, 46, 4479.292, 0.232142857142857, 0.154761904761905, 0.185714285714286, 222, -1, 0, 0, 21, 210.635
248479030, cognitive, 5, 14, 15, 697, 728, 13, 47, 4127.437, 0.232142857142857, 0.154761904761905, 0.185714285714286, 222, -1, 0, 0, 21, 217.446
248479030, cognitive, 5, 14, 15, 697, 728, 13, 48, 4211.013, 0.232142857142857, 0.154761904761905, 0.185714285714286, 222, -1, 0, 0, 21, 219.506
248479030, cognitive, 5, 14, 15, 711, 730, 13, 49, 6726.905, 0.133333333333333, 0.0952380952380952, 0.111111111111111, 233, -1, 0, 0, 21, 222.885
248479030, cognitive, 5, 14, 15, 711, 730, 14, 50, 6686.361, 0.133333333333333, 0.0952380952380952, 0.111111111111111, 233, -1, 0, 0, 21, 234.531
248479030, cognitive, 5, 14, 15, 725, 732, 14, 51, 7690.285, 0.21875, 0.166666666666667, 0.189189189189189, 235, -1, 0, 0, 21, 245.457
248479030, cognitive, 5, 14, 15, 724, 732, 14, 52, 56917.735, 0.140845070422535, 0.119047619047619, 0.129032258064516, 241, -1, 0, 0, 21, 250.81
248479030, cognitive, 5, 14, 15, 724, 732, 14, 53, 42377.122, 0.117647058823529, 0.0952380952380952, 0.105263157894737, 241, -1, 0, 0, 21, 254.189
248479030, cognitive, 5, 14, 15, 739, 734, 15, 54, 8684.88, 0.119402985074627, 0.0952380952380952, 0.105960264900662, 241, -1, 0, 0, 21, 260.936
248479030, cognitive, 5, 14, 15, 739, 734, 15, 55, 8997.722, 0.119402985074627, 0.0952380952380952, 0.105960264900662, 241, -1, 0, 0, 21, 255.023
248479030, cognitive, 5, 14, 15, 739, 734, 15, 56, 9014.813, 0.119402985074627, 0.0952380952380952, 0.105960264900662, 241, -1, 0, 0, 21, 260.535
248479030, cognitive, 5, 14, 15, 739, 734, 15, 57, 9045.211, 0.119402985074627, 0.0952380952380952, 0.105960264900662, 241, -1, 0, 0, 21, 264.013
248479030, cognitive, 5, 14, 15, 739, 734, 16, 58, 9341.538, 0.119402985074627, 0.0952380952380952, 0.105960264900662, 241, -1, 0, 0, 21, 275.114
248479030, cognitive, 5, 14, 15, 739, 734, 16, 59, 8711.122, 0.119402985074627, 0.0952380952380952, 0.105960264900662, 241, -1, 0, 0, 21, 286.643
248479030, cognitive, 5, 14, 15, 739, 734, 16, 60, 8668.676, 0.119402985074627, 0.0952380952380952, 0.105960264900662, 241, -1, 0, 0, 21, 289.549
248479030, cognitive, 5, 14, 15, 739, 734, 16, 61, 8561.304, 0.119402985074627, 0.0952380952380952, 0.105960264900662, 241, -1, 0, 0, 21, 286.86
248479030, cognitive, 5, 14, 15, 739, 734, 17, 62, 9052.148, 0.119402985074627, 0.0952380952380952, 0.105960264900662, 241, -1, 0, 0, 21, 289.988
248479030, cognitive, 5, 14, 15, 771, 738, 17, 63, 13021.905, 0.0933333333333333, 0.0833333333333333, 0.0880503144654088, 249, -1, 0, 0, 21, 298.32
248479030, cognitive, 5, 14, 15, 771, 738, 17, 64, 12631.832, 0.0933333333333333, 0.0833333333333333, 0.0880503144654088, 249, -1, 0, 0, 21, 303.492
248479030, cognitive, 5, 14, 15, 772, 738, 17, 65, 16902.379, 0.227848101265823, 0.214285714285714, 0.220858895705521, 250, -1, 0, 0, 21, 299.595
248479030, cognitive, 5, 14, 15, 772, 738, 18, 66, 17067.336, 0.227848101265823, 0.214285714285714, 0.220858895705521, 250, -1, 0, 0, 21, 312.571
248479030, cognitive, 5, 14, 15, 772, 738, 18, 67, 16220.042, 0.227848101265823, 0.214285714285714, 0.220858895705521, 250, -1, 0, 0, 21, 329.099
248479030, cognitive, 5, 14, 15, 772, 738, 18, 68, 16755.471, 0.227848101265823, 0.214285714285714, 0.220858895705521, 250, -1, 0, 0, 21, 307.86
248479030, cognitive, 5, 14, 15, 772, 738, 18, 69, 16954.959, 0.227848101265823, 0.214285714285714, 0.220858895705521, 250, -1, 0, 0, 21, 321.559
248479030, cognitive, 5, 14, 15, 772, 738, 19, 70, 16735.624, 0.227848101265823, 0.214285714285714, 0.220858895705521, 250, -1, 0, 0, 21, 323.466
248479030, cognitive, 5, 14, 15, 805, 742, 19, 71, 114906.373, 0.169014084507042, 0.142857142857143, 0.154838709677419, 229, -1, 0, 0, 21, 339.384
248479030, cognitive, 5, 14, 15, 806, 742, 19, 72, 906.212, 0.263157894736842, 0.178571428571429, 0.212765957446809, 223, -1, 0, 0, 21, 342.839
248479030, cognitive, 5, 14, 15, 806, 742, 19, 73, 863.629, 0.263157894736842, 0.178571428571429, 0.212765957446809, 223, -1, 0, 0, 21, 340.384
