(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), proximity error
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(move-through-doorway arthur storage basement), success
(look-at arthur doorway toward storage basement), success
(look-at arthur doorway toward storage basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), success
(pickup arthur shinykey bar), success
(unlock-entrance arthur shinykey barexit bar), failure
(talk-to arthur oscar bar), success
(talk-to arthur mel bar), success
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(pickup arthur mushroom docks), success
(move-through-doorway arthur docks junkyard), success
(talk-to arthur alli junkyard), success
(pickup arthur mirror junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(move-through-entrance arthur townarch forgeentrance forge), failure
(move-through-entrance arthur townarch forgeentrance forge), failure
(talk-to arthur karina townarch), success
(move-through-entrance arthur townarch hutentrance hut), failure
(look-at arthur hutentrance townarch), success
(move-through-doorway arthur townarch townsquare), success
(talk-to arthur dave townsquare), success
(talk-to arthur frank townsquare), success
(unlock-entrance arthur shinykey bankentrance townsquare), proximity error
(unlock-entrance arthur shinykey bankentrance townsquare), success
(move-through-entrance arthur townsquare bankentrance bank), failure
(talk-to arthur frank townsquare), proximity error
(talk-to arthur frank townsquare), success
(move-through-doorway arthur townsquare cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), failure
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare valley), success
(talk-to arthur james valley), success
(move-through-entrance arthur valley fortentrance fort), failure
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-doorway arthur docks junkyard), success
(give arthur mushroom alli junkyard), failure
