PlayerId, SystemConfiguration, NumberOfGoals, NumberOfOperatorsPreCompilation, NumberOfPredicatesPreCompilation, NumberOfOperatorsPostCompilation, NumberOfPredicatesPostCompilation, NumberOfObservationsInput, NumberOfPlayerActionsTaken, Runtime, PlanRecognitionPrecision, PlanRecognitionRecall, PlanRecognitionF1Score, PlanRecognitionLevenshteinDistance, GoalRecognitionPrecision, GoalRecognitionRecall, GoalRecognitionF1Score, GoalRecognitionLevenshteinDistance, IndexterCalculationTime
606449569, cognitive_STRICT, 26, 14, 15, 641, 706, 1, 1, 1195.052, 0.256410256410256, 0.078740157480315, 0.120481927710843, 437, -1, 0, 0, 21, 0
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 2, 1462.105, 0.142857142857143, 0.0551181102362205, 0.0795454545454545, 429, -1, 0, 0, 21, 5.75
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 3, 1037.241, 0.105263157894737, 0.031496062992126, 0.0484848484848485, 441, -1, 0, 0, 21, 3.071
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 4, 1145.121, 0.179487179487179, 0.0551181102362205, 0.0843373493975904, 437, -1, 0, 0, 21, 3.976
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 5, 1066.333, 0.075, 0.0236220472440945, 0.0359281437125748, 433, -1, 0, 0, 21, 5.121
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 6, 1202.257, 0.142857142857143, 0.047244094488189, 0.0710059171597633, 436, -1, 0, 0, 21, 6.157
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 7, 403.5, 0.1875, 0.047244094488189, 0.0754716981132075, 467, -1, 0, 0, 21, 7.154
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 8, 1042.239, 0.105263157894737, 0.031496062992126, 0.0484848484848485, 441, -1, 0, 0, 21, 8.295
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 9, 402.726, 0.1, 0.0236220472440945, 0.0382165605095541, 478, -1, 0, 0, 21, 8.87
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 10, 391.687, 0.15625, 0.0393700787401575, 0.0628930817610063, 474, -1, 0, 0, 21, 10.054
606449569, cognitive_STRICT, 26, 14, 15, 642, 708, 2, 11, 1113.761, 0.075, 0.0236220472440945, 0.0359281437125748, 439, -1, 0, 0, 21, 10.812
606449569, cognitive_STRICT, 26, 14, 15, 644, 710, 3, 12, 1173.361, 0.214285714285714, 0.0708661417322835, 0.106508875739645, 438, -1, 0, 0, 21, 12.238
