(talk-to arthur mel storage), success
(look-at arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(move-through-doorway arthur storage basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), success
(pickup arthur shinykey bar), success
(talk-to arthur oscar bar), proximity error
(talk-to arthur oscar bar), success
(look-at arthur oscar bar), success
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(look-at arthur mushroom docks), success
(pickup arthur mushroom docks), success
(move-through-doorway arthur docks junkyard), success
(talk-to arthur alli junkyard), success
(look-at arthur mirror junkyard), success
(move-through-doorway arthur junkyard docks), success
(move-through-doorway arthur docks townarch), success
(look-at arthur dorian townarch), success
(look-at arthur karina townarch), success
(look-at arthur hutentrance townarch), success
(open arthur hutentrance townarch), success
(move-through-entrance arthur townarch hutentrance hut), success
(talk-to arthur michael hut), proximity error
(talk-to arthur michael hut), success
(look-at arthur book hut), success
(pickup arthur hairtonic hut), proximity error
(pickup arthur hairtonic hut), success
(look-at arthur tastycupcake hut), success
(pickup arthur tastycupcake hut), success
(talk-to arthur michael hut), success
(move-through-entrance arthur hut hutexit townarch), success
(move-through-doorway arthur townarch docks), success
(move-through-doorway arthur docks junkyard), success
(give arthur tastycupcake alli junkyard), success
(give alli ash arthur junkyard), success
(move-through-doorway arthur junkyard docks), success
(talk-to arthur ash docks), failure
(move-through-doorway arthur docks townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(talk-to arthur karina townarch), success
(open arthur forgeentrance townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(talk-to arthur peter forge), success
(talk-to arthur matthias forge), success
(move-through-entrance arthur forge forgeexit townarch), success
(move-through-doorway arthur townarch townsquare), success
(talk-to arthur frank townsquare), success
(give arthur shinykey frank townsquare), failure
(talk-to arthur frank townsquare), success
(talk-to arthur dave townsquare), success
(move-through-doorway arthur townsquare valley), success
(talk-to arthur james valley), success
(open arthur fortentrance valley), success
(move-through-entrance arthur valley fortentrance fort), success
(talk-to arthur camille fort), success
(talk-to arthur ian fort), proximity error
(talk-to arthur ian fort), success
(talk-to arthur phillip fort), success
(look-at arthur loveletter fort), success
(move-through-entrance arthur fort fortexit valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare townarch), success
(move-through-entrance arthur townarch forgeentrance forge), success
(pickup arthur knightsword forge), success
(look-at arthur rope forge), success
(talk-to arthur peter forge), success
(drop arthur mushroom forge), success
(drop arthur shinykey forge), success
(look-at arthur forgeexit forge), success
(move-through-entrance arthur forge forgeexit townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare cliff), proximity error
(move-through-doorway arthur townsquare cliff), success
(look-at arthur bouquet cliff), success
(look-at arthur humanskull cliff), success
(open arthur mansionentrance cliff), success
(look-at arthur mansionentrance cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(give arthur loveletter avery mansion), failure
(talk-to arthur avery mansion), success
(talk-to arthur roger mansion), success
(talk-to arthur jordan mansion), success
(give arthur loveletter jordan mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(pickup arthur bouquet cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(give arthur bouquet dorian townarch), proximity error
(give arthur bouquet dorian townarch), success
(give dorian lovecontract arthur townarch), success
